Timestamp,Domain Name,IP Address,Original IP Address,DNS Requests,Attack Type,Geographical Information,Detection Flags,Security Measures,Resolution Time,Column1
28-02-2023 10:15,food-delivery.com,172.31.15.44,104.18.13.13,Requested: food-delivery.com, Type: A,DNS Spoofing,Location_Istanbul,1,DNSSEC Implemented,1.2 hours
02-03-2023 18:45,job-news.com,192.168.1.404,203.0.113.40,Requested: job-news.com, Type: A,DNS Cache Poisoning,Location_CapeTown,1,DNSSEC Implemented,2.8 hours
05-03-2023 10:45,travel-hub.com,192.168.1.401,203.0.113.4,Requested: travel-hub.com, Type: A Rec,DNS Spoofing,Location_LosAngeles,1,No DNSSEC,2.2 hours
08-03-2023 14:00,tech-hub.com,203.0.113.35,104.20.13.13,Requested: tech-hub.com, Type: A,DNS Spoofing,Location_Bangkok,0,No DNSSEC,N/A
10-03-2023 14:30,finance-news.com,172.31.15.52,104.18.14.14,Requested: finance-news.com, Type: A,DNS Cache Poisoning,Location_Berlin,1,DNSSEC Implemented,1.9 hours
16-03-2023 18:20,health-hub.com,203.0.113.25,104.20.11.11,Requested: health-hub.com, Type: A,DNS Spoofing,Location_RioDeJaneiro,0,No DNSSEC,N/A
18-03-2023 10:45,education-hub.com,172.31.15.54,104.18.16.16,Requested: education-hub.com, Type: A,DNS Cache Poisoning,Location_London,1,No DNSSEC,N/A
20-03-2023 11:10,shopping-now.com,192.168.1.402,198.51.100.4,Requested: shopping-now.com, Type: A Rec,DNS Cache Poisoning,Location_Toronto,1,DNSSEC Implemented,2.5 hours
25-03-2023 08:45,gaming-news.com,172.31.15.53,104.18.15.15,Requested: gaming-news.com, Type: A,DNS Spoofing,Location_Sydney,1,DNSSEC Implemented,1.8 hours
28-03-2023 13:30,entertainment-news.com,192.168.1.403,203.0.113.30,Requested: entertainment-news.com, Type: A,DNS Spoofing,Location_Tokyo,1,DNSSEC Implemented,2.1 hours
30-03-2023 16:30,social-hub.com,203.0.113.28,104.20.12.12,Requested: social-hub.com, Type: A,DNS Cache Poisoning,Location_MexicoCity,1,No DNSSEC,N/A
02-04-2023 18:45,education-news.com,192.168.1.504,203.0.113.40,Requested: education-news.com, Type: A,DNS Spoofing,Location_Copenhagen,0,No DNSSEC,N/A
05-04-2023 10:45,example.org,192.168.1.501,203.0.113.5,Requested: example.org, Type: AAAA Rec,DNS Cache Poisoning,Location_NewYork,0,No DNSSEC,N/A
08-04-2023 14:00,social-hub.com,203.0.113.35,104.20.16.16,Requested: social-hub.com, Type: A,DNS Cache Poisoning,Location_Berlin,1,No DNSSEC,N/A
10-04-2023 14:30,finance-portal.com,172.31.15.62,104.18.17.17,Requested: finance-portal.com, Type: A,DNS Spoofing,Location_Sydney,1,No DNSSEC,2.2 hours
16-04-2023 18:20,news-hub.com,203.0.113.45,104.20.14.14,Requested: news-hub.com, Type: A,DNS Cache Poisoning,Location_Paris,1,DNSSEC Implemented,1.9 hours
18-04-2023 10:45,gaming-news.com,172.31.15.64,104.18.19.19,Requested: gaming-news.com, Type: A,DNS Spoofing,Location_Toronto,1,DNSSEC Implemented,2.1 hours
20-04-2023 11:10,travel-news.com,192.168.1.502,198.51.100.5,Requested: travel-news.com, Type: A Rec,DNS Spoofing,Location_Rome,0,No DNSSEC,N/A
25-04-2023 08:45,entertainment-portal.com,172.31.15.63,104.18.18.18,Requested: entertainment-portal.com, Type: A,DNS Cache Poisoning,Location_LosAngeles,1,DNSSEC Implemented,2.5 hours
28-04-2023 13:30,health-portal.com,192.168.1.503,203.0.113.30,Requested: health-portal.com, Type: A,DNS Cache Poisoning,Location_MexicoCity,0,No DNSSEC,N/A
30-04-2023 16:30,shopping-news.com,203.0.113.28,104.20.15.15,Requested: shopping-news.com, Type: A,DNS Spoofing,Location_Bangkok,1,No DNSSEC,N/A
02-05-2023 18:45,tech-news.com,192.168.1.604,203.0.113.40,Requested: tech-news.com, Type: A,DNS Spoofing,Location_CapeTown,1,DNSSEC Implemented,2.8 hours
05-05-2023 10:45,travel-portal.com,192.168.1.601,203.0.113.6,Requested: travel-portal.com, Type: A Rec,DNS Cache Poisoning,Location_Paris,0,No DNSSEC,N/A
08-05-2023 14:00,education-hub.com,203.0.113.35,104.20.19.19,Requested: education-hub.com, Type: A,DNS Cache Poisoning,Location_Berlin,1,No DNSSEC,N/A
10-05-2023 14:30,food-hub.com,172.31.15.72,104.18.20.20,Requested: food-hub.com, Type: A,DNS Spoofing,Location_London,1,DNSSEC Implemented,2.2 hours
16-05-2023 18:20,entertainment-news.com,203.0.113.55,104.20.17.17,Requested: entertainment-news.com, Type: A,DNS Cache Poisoning,Location_Madrid,1,No DNSSEC,N/A
18-05-2023 10:45,gaming-hub.com,172.31.15.74,104.18.22.22,Requested: gaming-hub.com, Type: A,DNS Spoofing,Location_Toronto,1,DNSSEC Implemented,2.1 hours
20-05-2023 11:10,finance-hub.com,192.168.1.602,198.51.100.6,Requested: finance-hub.com, Type: A Rec,DNS Spoofing,Location_NewYork,0,No DNSSEC,N/A
25-05-2023 08:45,sports-hub.com,172.31.15.73,104.18.21.21,Requested: sports-hub.com, Type: A,DNS Cache Poisoning,Location_LosAngeles,1,DNSSEC Implemented,2.5 hours
28-05-2023 13:30,health-news.com,192.168.1.603,203.0.113.30,Requested: health-news.com, Type: A,DNS Cache Poisoning,Location_Sydney,0,No DNSSEC,N/A
30-05-2023 16:30,shopping-portal.com,203.0.113.28,104.20.18.18,Requested: shopping-portal.com, Type: A,DNS Spoofing,Location_Bangkok,1,No DNSSEC,N/A
02-06-2023 18:45,job-news.com,192.168.1.704,203.0.113.40,Requested: job-news.com, Type: A,DNS Cache Poisoning,Location_Copenhagen,1,DNSSEC Implemented,2.8 hours
05-06-2023 10:45,travel-hub.com,192.168.1.701,203.0.113.7,Requested: travel-hub.com, Type: A Rec,DNS Spoofing,Location_Toronto,1,No DNSSEC,N/A
08-06-2023 14:00,tech-hub.com,203.0.113.35,104.20.22.22,Requested: tech-hub.com, Type: A,DNS Spoofing,Location_Berlin,0,No DNSSEC,N/A
10-06-2023 14:30,finance-news.com,172.31.15.82,104.18.23.23,Requested: finance-news.com, Type: A,DNS Cache Poisoning,Location_Bangkok,1,DNSSEC Implemented,2.2 hours
16-06-2023 18:20,health-hub.com,203.0.113.65,104.20.20.20,Requested: health-hub.com, Type: A,DNS Spoofing,Location_MexicoCity,0,No DNSSEC,N/A
18-06-2023 10:45,education-hub.com,172.31.15.84,104.18.25.25,Requested: education-hub.com, Type: A,DNS Cache Poisoning,Location_Tokyo,1,No DNSSEC,N/A
20-06-2023 11:10,shopping-now.com,192.168.1.702,198.51.100.7,Requested: shopping-now.com, Type: A Rec,DNS Cache Poisoning,Location_Paris,1,DNSSEC Implemented,2.5 hours
25-06-2023 08:45,gaming-news.com,172.31.15.83,104.18.24.24,Requested: gaming-news.com, Type: A,DNS Spoofing,Location_Sydney,1,No DNSSEC,N/A
28-06-2023 13:30,entertainment-news.com,192.168.1.703,203.0.113.30,Requested: entertainment-news.com, Type: A,DNS Spoofing,Location_LosAngeles,1,DNSSEC Implemented,2.1 hours
30-06-2023 16:30,social-hub.com,203.0.113.28,104.20.21.21,Requested: social-hub.com, Type: A,DNS Cache Poisoning,Location_Rome,0,No DNSSEC,N/A
02-07-2023 18:45,tech-news.com,192.168.1.804,203.0.113.40,Requested: tech-news.com, Type: A,DNS Spoofing,Location_Berlin,1,DNSSEC Implemented,2.8 hours
05-07-2023 10:45,travel-portal.com,192.168.1.801,203.0.113.8,Requested: travel-portal.com, Type: A Rec,DNS Cache Poisoning,Location_Sydney,1,No DNSSEC,N/A
08-07-2023 14:00,education-hub.com,203.0.113.35,104.20.25.25,Requested: education-hub.com, Type: A,DNS Cache Poisoning,Location_MexicoCity,1,No DNSSEC,N/A
10-07-2023 14:30,food-hub.com,172.31.15.92,104.18.26.26,Requested: food-hub.com, Type: A,DNS Spoofing,Location_London,1,DNSSEC Implemented,2.2 hours
16-07-2023 18:20,entertainment-news.com,203.0.113.75,104.20.23.23,Requested: entertainment-news.com, Type: A,DNS Cache Poisoning,Location_Madrid,1,No DNSSEC,N/A
18-07-2023 10:45,gaming-hub.com,172.31.15.94,104.18.28.28,Requested: gaming-hub.com, Type: A,DNS Spoofing,Location_Sydney,1,DNSSEC Implemented,2.1 hours
20-07-2023 11:10,finance-hub.com,192.168.1.802,198.51.100.8,Requested: finance-hub.com, Type: A Rec,DNS Spoofing,Location_Bangkok,0,No DNSSEC,N/A
25-07-2023 08:45,sports-hub.com,172.31.15.93,104.18.27.27,Requested: sports-hub.com, Type: A,DNS Cache Poisoning,Location_Tokyo,1,DNSSEC Implemented,2.5 hours
28-07-2023 13:30,health-news.com,192.168.1.803,203.0.113.30,Requested: health-news.com, Type: A,DNS Cache Poisoning,Location_LosAngeles,0,No DNSSEC,N/A
30-07-2023 16:30,shopping-portal.com,203.0.113.28,104.20.24.24,Requested: shopping-portal.com, Type: A,DNS Spoofing,Location_Rome,1,No DNSSEC,N/A
02-08-2023 18:45,job-news.com,192.168.1.904,203.0.113.40,Requested: job-news.com, Type: A,DNS Cache Poisoning,Location_Copenhagen,0,No DNSSEC,N/A
05-08-2023 10:45,travel-hub.com,192.168.1.901,203.0.113.9,Requested: travel-hub.com, Type: A Rec,DNS Spoofing,Location_Bangkok,1,No DNSSEC,N/A
08-08-2023 14:00,tech-hub.com,203.0.113.35,104.20.28.28,Requested: tech-hub.com, Type: A,DNS Spoofing,Location_Madrid,1,DNSSEC Implemented,2.8 hours
10-08-2023 14:30,finance-news.com,172.31.15.102,104.18.29.29,Requested: finance-news.com, Type: A,DNS Cache Poisoning,Location_Toronto,1,DNSSEC Implemented,2.2 hours
16-08-2023 18:20,health-hub.com,203.0.113.85,104.20.26.26,Requested: health-hub.com, Type: A,DNS Spoofing,Location_LosAngeles,0,No DNSSEC,N/A
18-08-2023 10:45,education-hub.com,172.31.15.104,104.18.31.31,Requested: education-hub.com, Type: A,DNS Cache Poisoning,Location_Berlin,1,No DNSSEC,N/A
20-08-2023 11:10,shopping-now.com,192.168.1.902,198.51.100.9,Requested: shopping-now.com, Type: A Rec,DNS Cache Poisoning,Location_Sydney,1,DNSSEC Implemented,2.5 hours
25-08-2023 08:45,gaming-news.com,172.31.15.103,104.18.30.30,Requested: gaming-news.com, Type: A,DNS Spoofing,Location_Rome,1,No DNSSEC,N/A
28-08-2023 13:30,entertainment-news.com,192.168.1.903,203.0.113.30,Requested: entertainment-news.com, Type: A,DNS Spoofing,Location_Paris,1,DNSSEC Implemented,2.1 hours
30-08-2023 16:30,social-hub.com,203.0.113.28,104.20.27.27,Requested: social-hub.com, Type: A,DNS Cache Poisoning,Location_Tokyo,0,No DNSSEC,N/A
02-09-2023 18:45,tech-news.com,192.168.1.1004,203.0.113.40,Requested: tech-news.com, Type: A,DNS Cache Poisoning,Location_MexicoCity,1,DNSSEC Implemented,2.8 hours
05-09-2023 10:45,travel-portal.com,192.168.1.1001,203.0.113.10,Requested: travel-portal.com, Type: A Rec,DNS Spoofing,Location_LosAngeles,1,No DNSSEC,N/A
08-09-2023 14:00,education-hub.com,203.0.113.35,104.20.31.31,Requested: education-hub.com, Type: A,DNS Spoofing,Location_LosAngeles,1,No DNSSEC,N/A
10-09-2023 14:30,food-hub.com,172.31.15.112,104.18.32.32,Requested: food-hub.com, Type: A,DNS Cache Poisoning,Location_Bangkok,1,DNSSEC Implemented,2.2 hours
16-09-2023 18:20,entertainment-news.com,203.0.113.95,104.20.29.29,Requested: entertainment-news.com, Type: A,DNS Spoofing,Location_Toronto,1,No DNSSEC,N/A
18-09-2023 10:45,gaming-hub.com,172.31.15.114,104.18.34.34,Requested: gaming-hub.com, Type: A,DNS Cache Poisoning,Location_Paris,1,DNSSEC Implemented,2.1 hours
20-09-2023 11:10,finance-hub.com,192.168.1.1002,198.51.100.10,Requested: finance-hub.com, Type: A Rec,DNS Cache Poisoning,Location_MexicoCity,0,No DNSSEC,N/A
25-09-2023 08:45,sports-hub.com,172.31.15.113,104.18.33.33,Requested: sports-hub.com, Type: A,DNS Spoofing,Location_Rome,1,DNSSEC Implemented,2.5 hours
28-09-2023 13:30,health-news.com,192.168.1.1003,203.0.113.30,Requested: health-news.com, Type: A,DNS Spoofing,Location_Sydney,0,No DNSSEC,N/A
30-09-2023 16:30,shopping-portal.com,203.0.113.28,104.20.30.30,Requested: shopping-portal.com, Type: A,DNS Cache Poisoning,Location_London,1,No DNSSEC,N/A
02-10-2023 18:45,job-news.com,192.168.1.1104,203.0.113.40,Requested: job-news.com, Type: A,DNS Cache Poisoning,Location_Rome,0,No DNSSEC,N/A
05-10-2023 10:45,travel-hub.com,192.168.1.1101,203.0.113.11,Requested: travel-hub.com, Type: A Rec,DNS Spoofing,Location_Singapore,1,No DNSSEC,N/A
08-10-2023 14:00,tech-hub.com,203.0.113.35,104.20.34.34,Requested: tech-hub.com, Type: A,DNS Spoofing,Location_Sydney,1,DNSSEC Implemented,2.8 hours
10-10-2023 14:30,finance-news.com,172.31.15.122,104.18.35.35,Requested: finance-news.com, Type: A,DNS Cache Poisoning,Location_London,1,DNSSEC Implemented,2.2 hours
16-10-2023 18:20,health-hub.com,203.0.113.105,104.20.32.32,Requested: health-hub.com, Type: A,DNS Spoofing,Location_Tokyo,0,No DNSSEC,N/A
18-10-2023 10:45,education-hub.com,172.31.15.124,104.18.37.37,Requested: education-hub.com, Type: A,DNS Cache Poisoning,Location_Toronto,1,No DNSSEC,N/A
20-10-2023 11:10,shopping-now.com,192.168.1.1102,198.51.100.11,Requested: shopping-now.com, Type: A Rec,DNS Cache Poisoning,Location_Copenhagen,1,DNSSEC Implemented,2.5 hours
25-10-2023 08:45,gaming-news.com,172.31.15.123,104.18.36.36,Requested: gaming-news.com, Type: A,DNS Spoofing,Location_Madrid,1,No DNSSEC,N/A
28-10-2023 13:30,entertainment-news.com,192.168.1.1103,203.0.113.30,Requested: entertainment-news.com, Type: A,DNS Spoofing,Location_LosAngeles,1,DNSSEC Implemented,2.1 hours
30-10-2023 16:30,social-hub.com,203.0.113.28,104.20.33.33,Requested: social-hub.com, Type: A,DNS Cache Poisoning,Location_Berlin,0,No DNSSEC,N/A
02-11-2023 18:45,tech-news.com,192.168.1.1204,203.0.113.40,Requested: tech-news.com, Type: A,DNS Spoofing,Location_Madrid,1,DNSSEC Implemented,2.8 hours
05-11-2023 10:45,travel-portal.com,192.168.1.1201,203.0.113.12,Requested: travel-portal.com, Type: A Rec,DNS Cache Poisoning,Location_MexicoCity,1,No DNSSEC,N/A
08-11-2023 14:00,education-hub.com,203.0.113.35,104.20.37.37,Requested: education-hub.com, Type: A,DNS Cache Poisoning,Location_Paris,1,No DNSSEC,N/A
10-11-2023 14:30,food-hub.com,172.31.15.132,104.18.38.38,Requested: food-hub.com, Type: A,DNS Spoofing,Location_Sydney,1,DNSSEC Implemented,2.2 hours
16-11-2023 18:20,entertainment-news.com,203.0.113.115,104.20.35.35,Requested: entertainment-news.com, Type: A,DNS Cache Poisoning,Location_Rome,1,No DNSSEC,N/A
18-11-2023 10:45,gaming-hub.com,172.31.15.134,104.18.40.40,Requested: gaming-hub.com, Type: A,DNS Spoofing,Location_Tokyo,1,DNSSEC Implemented,2.1 hours
20-11-2023 11:10,finance-hub.com,192.168.1.1202,198.51.100.12,Requested: finance-hub.com, Type: A Rec,DNS Spoofing,Location_London,0,No DNSSEC,N/A
25-11-2023 08:45,sports-hub.com,172.31.15.133,104.18.39.39,Requested: sports-hub.com, Type: A,DNS Cache Poisoning,Location_Berlin,1,DNSSEC Implemented,2.5 hours
28-11-2023 13:30,health-news.com,192.168.1.1203,203.0.113.30,Requested: health-news.com, Type: A,DNS Cache Poisoning,Location_LosAngeles,0,No DNSSEC,N/A
30-11-2023 16:30,shopping-portal.com,203.0.113.28,104.20.36.36,Requested: shopping-portal.com, Type: A,DNS Spoofing,Location_Toronto,1,No DNSSEC,N/A
02-12-2023 18:45,job-news.com,192.168.1.1304,203.0.113.40,Requested: job-news.com, Type: A,DNS Cache Poisoning,Location_NewYork,0,No DNSSEC,N/A
05-12-2023 10:45,travel-hub.com,192.168.1.1301,203.0.113.13,Requested: travel-hub.com, Type: A Rec,DNS Spoofing,Location_CapeTown,1,No DNSSEC,N/A
08-12-2023 14:00,tech-hub.com,203.0.113.35,104.20.40.40,Requested: tech-hub.com, Type: A,DNS Spoofing,Location_MexicoCity,1,DNSSEC Implemented,2.8 hours
10-12-2023 14:30,finance-news.com,172.31.15.142,104.18.41.41,Requested: finance-news.com, Type: A,DNS Cache Poisoning,Location_Tokyo,1,DNSSEC Implemented,2.2 hours
16-12-2023 18:20,health-hub.com,203.0.113.125,104.20.38.38,Requested: health-hub.com, Type: A,DNS Spoofing,Location_Berlin,0,No DNSSEC,N/A
18-12-2023 10:45,education-hub.com,172.31.15.144,104.18.43.43,Requested: education-hub.com, Type: A,DNS Cache Poisoning,Location_Toronto,1,No DNSSEC,N/A
20-12-2023 11:10,shopping-now.com,192.168.1.1302,198.51.100.13,Requested: shopping-now.com, Type: A Rec,DNS Cache Poisoning,Location_LosAngeles,1,DNSSEC Implemented,2.5 hours
25-12-2023 08:45,gaming-news.com,172.31.15.143,104.18.42.42,Requested: gaming-news.com, Type: A,DNS Spoofing,Location_Sydney,1,No DNSSEC,N/A
28-12-2023 13:30,entertainment-news.com,192.168.1.1303,203.0.113.30,Requested: entertainment-news.com, Type: A,DNS Spoofing,Location_Copenhagen,1,DNSSEC Implemented,2.1 hours
30-12-2023 16:30,social-hub.com,203.0.113.28,104.20.39.39,Requested: social-hub.com, Type: A,DNS Cache Poisoning,Location_Paris,0,No DNSSEC,N/A
